Genesis;[8]1,[6]1,[0]1,[1]1,[4]1,[9]1,[2]1
[3]43;[3]44,[9]45,[6]51,[0]49,[8]48,[1]49
[1]48;[6]50,[9]45,[0]49,[8]48,[1]49
[6]49;[6]50,[9]46,[4]34
[4]33;[7]41,[6]55
[3]44;[6]54,[4]34,[7]41
[0]48;[0]49,[6]54,[4]34,[7]41
[6]50;[6]51
[9]45;[9]46
[6]51;[6]52,[8]49
[0]49;[8]49,[4]35,[2]34,[7]42,[1]50,[6]56
[8]48;[4]39
[6]52;[6]53
[1]49;[8]50,[0]50,[6]57,[4]36,[1]51,[7]43
[6]53;[6]54,[4]35,[2]34,[7]42
[9]46;[2]34,[7]42
[6]54;[6]55,[8]50
[4]34;[4]35,[1]50
[7]41;[6]56,[4]38
[6]55;[1]50,[6]56,[0]50,[4]36,[7]43
[8]49;[8]50,[0]50
[4]35;[6]57,[4]37,[7]43,[0]51,[1]52
[2]34;[1]51,[4]37,[0]51,[2]36
[7]42;[4]36
[8]50;[4]38
[1]50;[1]51,[4]39,[2]35,[9]47,[6]58
[6]56;[6]57,[1]52,[2]35,[9]47
[0]50;[0]51,[2]35,[9]47,[6]58,[7]44
[6]57;[6]58,[2]36,[7]44,[0]52
[4]36;[4]37
[1]51;[1]52,[7]44,[0]52,[6]59,[9]48
[4]37;[4]38,[6]59,[0]53
[7]43;[0]53
[0]51;[5]35,[0]52,[9]48,[1]53,[2]37,[3]45,[4]40,[6]60,[7]45
[4]38;[4]39
[4]39;[1]53,[0]54,[2]37,[9]50
[1]52;[5]35,[1]53,[0]54,[3]45,[4]40,[6]60,[9]49
[2]35;[2]36
[9]47;[9]48,[4]40
[6]58;[6]59,[3]45,[9]50
[2]36;[5]35,[2]37,[7]45,[9]49,[0]55,[1]54
[5]35;[6]61
[7]44;[7]45,[0]55
[0]52;[0]53
[6]59;[6]60,[0]56
[9]48;[9]49
[0]53;[0]54,[1]54
[1]53;[5]36,[1]54,[9]51,[7]46,[6]61,[2]38,[0]58,[8]51,[3]46
[0]54;[0]55,[9]51,[7]46,[6]61
[2]37;[0]59,[2]39
[3]45;[0]59,[2]41
[4]40;[9]52,[0]60
[6]60;[0]60
[7]45;[7]46,[2]39
[9]49;[9]50
[9]50;[5]36,[9]51,[1]55,[2]38,[0]58,[8]51,[3]46
[0]55;[0]56,[1]55,[9]52
[0]56;[5]36,[0]57,[2]38,[8]51,[3]46
[5]36;[1]63
[0]57;[0]58,[9]53,[2]40,[8]52,[1]56
[1]54;[1]55,[9]53,[2]40
[9]51;[9]52
[7]46;[2]41
[6]61;[8]66,[0]75,[9]63,[3]58,[7]55
[1]55;[8]52,[1]56,[2]42,[9]54,[7]47,[4]41,[0]61,[6]62
[9]52;[9]53,[1]56
[2]38;[2]39,[8]53
[0]58;[0]59
[0]59;[0]60,[2]42
[8]51;[8]52,[7]47
[0]60;[8]53,[9]54,[7]47,[1]57,[4]41,[0]61,[2]43,[6]62
[3]46;[8]54,[2]43,[4]42,[1]58
[2]39;[2]40,[1]57
[9]53;[9]54,[0]61
[2]40;[2]41,[4]41,[8]54,[6]62
[2]41;[2]42,[4]42,[7]48,[1]58
[8]52;[8]53
[1]56;[1]57,[7]48,[9]55,[4]43
[2]42;[2]43
[8]53;[8]54,[9]55,[1]59
[9]54;[9]55,[0]62,[8]55
[7]47;[7]48,[4]43
[1]57;[1]58,[0]62,[3]47
[4]41;[4]42
[0]61;[5]37,[0]62,[1]59,[3]47,[8]55,[9]56
[8]54;[5]37,[3]47,[8]55,[9]56
[2]43;[3]49
[6]62;[6]63,[8]56,[1]60
[4]42;[5]37,[4]43,[3]48
[5]37;[1]60
[7]48;[0]63,[3]49
[1]58;[1]59,[0]63,[3]48
[9]55;[9]56
[4]43;[1]62,[3]53,[7]51
[0]62;[0]63,[3]50,[7]49,[6]64,[8]57
[1]59;[3]50,[7]49,[1]61
[3]47;[3]48,[7]49,[6]63,[8]56
[8]55;[6]63,[8]57
[9]56;[6]64,[8]56,[1]60,[3]51
[0]63;[5]38,[1]61,[3]51,[0]64,[2]44,[4]44
[3]48;[3]49
[3]49;[3]50,[1]62
[3]50;[5]38,[3]51,[0]64,[2]44,[4]44
[7]49;[5]38,[3]53,[0]64,[7]50
[5]38;[5]39,[9]57
[6]63;[6]64
[6]64;[2]44,[4]44,[0]65,[7]51
[8]56;[8]57
[8]57;[1]68,[2]50
[1]60;[1]61
[1]61;[5]39,[1]62,[0]65,[7]50
[3]51;[5]39,[3]52,[7]50
[5]39;[2]46,[6]66
[1]62;[1]63,[0]66,[9]58,[3]54,[2]45,[4]45
[3]52;[3]53,[1]63
[3]53;[5]40,[9]57,[0]66,[3]54,[1]64,[2]45,[4]45,[8]58
[0]64;[0]65,[9]57
[2]44;[9]58,[0]67,[2]46,[3]55,[8]59,[6]66
[4]44;[2]47
[0]65;[5]40,[0]66,[3]54,[1]64,[2]45,[4]45,[9]59,[8]58
[7]50;[7]51,[0]67
[7]51;[5]40,[9]59,[3]55,[8]59
[5]40;[0]74,[8]64,[9]62,[2]48,[6]70,[7]53
[1]63;[1]64,[8]58,[2]47,[3]56,[6]65,[0]68
[9]57;[9]58,[3]56,[6]65,[0]68
[0]66;[5]41,[0]67,[6]65
[9]58;[5]41,[9]59,[0]69,[3]57
[3]54;[3]55
[1]64;[5]41,[0]69
[2]45;[2]46
[4]45;[0]72
[5]41;[5]42,[9]61
[0]67;[5]42,[0]68,[3]57,[1]65
[2]46;[2]47
[9]59;[5]42,[0]70,[1]65,[8]60,[6]67,[9]60,[7]52
[5]42;[5]43,[8]61
[3]55;[3]56
[8]58;[8]59
[2]47;[5]44,[0]70,[1]65,[7]52
[8]59;[6]71,[1]67,[3]62,[0]78
[3]56;[5]44,[3]57,[0]71
[6]65;[6]66,[0]71
[6]66;[5]43,[8]60,[6]67,[9]60,[0]72
[0]68;[5]43,[0]69,[8]60,[6]67,[9]60
[5]43;[5]44
[5]44;[5]45,[1]66,[6]69,[0]74,[8]63,[9]62
[0]69;[0]70,[9]61,[6]68,[7]52,[8]61
[3]57;[6]68,[0]73
[0]70;[0]71,[8]62
[1]65;[5]45,[0]73,[8]62,[1]66,[6]69
[0]71;[0]72,[1]66,[6]69
[8]60;[8]61
[6]67;[6]68
[9]60;[9]61
[9]61;[2]97,[4]88
[0]72;[5]45,[0]73,[8]63
[6]68;[8]64,[0]76,[3]59
[7]52;[0]77
[5]45;[5]46,[8]68,[3]60
[8]61;[8]62
[0]73;[0]74,[9]62,[8]66,[2]48,[6]70,[7]53
[8]62;[8]63,[0]75,[2]48,[9]63,[7]53
[1]66;[5]46,[3]58,[0]76,[7]54,[2]49,[8]68,[4]46
[6]69;[6]70,[7]54,[0]77,[3]59
[0]74;[5]46,[0]75,[3]58,[7]54,[2]49,[8]67,[9]64
[5]46;[5]47,[4]48
[8]63;[8]64
[8]64;[8]65
[8]65;[8]66
[9]62;[9]63,[8]67
[8]66;[5]47,[8]67,[9]64,[3]60,[4]46,[7]56,[6]71
[0]75;[5]47,[0]76,[4]46,[8]69,[7]56,[3]61
[2]48;[5]48,[2]49,[8]69,[3]61,[7]57
[5]47;[5]48
[9]63;[9]64
[6]70;[6]71
[7]53;[7]55
[3]58;[5]48,[3]59,[7]57,[1]67
[5]48;[5]49,[0]79,[1]69
[0]76;[0]77,[1]67
[7]54;[7]55
[7]55;[7]56
[0]77;[5]49,[7]58,[4]47,[3]62,[1]68,[0]78,[8]70,[2]50
[3]59;[3]60,[7]58,[4]48
[2]49;[5]49,[4]47,[8]70,[0]79,[1]69,[2]51
[8]67;[8]68
[8]68;[8]69
[5]49;[7]67,[4]55
[9]64;[2]98,[4]89
[3]60;[3]61
[4]46;[4]47
[8]69;[8]70
[7]56;[7]57
[3]61;[3]62,[0]78,[8]71
[6]71;[0]81
[7]57;[7]58,[8]71
[1]67;[5]50,[1]68,[2]50,[0]80,[9]65,[7]60,[4]49
[7]58;[7]59,[0]80,[2]51,[9]65
[4]47;[4]48,[9]65
[4]48;[5]50,[0]81,[7]60,[1]70,[4]49,[8]72
[7]59;[5]50,[7]60,[1]70,[2]52,[4]49
[3]62;[5]52,[2]52,[1]71
[5]50;[5]51,[1]72
[1]68;[5]51,[1]69,[7]61
[0]78;[5]51,[0]79,[1]71,[7]61
[5]51;[5]52
[8]70;[5]52,[8]71
[5]52;[5]53,[0]83,[9]66,[1]73,[2]53,[8]74
[8]71;[8]72
[0]79;[0]80,[8]72
[1]69;[1]70
[2]50;[2]51
[0]80;[5]53,[0]81
[2]51;[5]53,[2]52
[9]65;[7]63,[8]75
[5]53;[5]54,[7]62
[0]81;[5]54,[8]73,[6]72,[3]63,[1]72,[0]82,[9]66,[2]53,[7]62
[7]60;[7]61,[8]73,[6]72,[3]63,[0]82
[1]70;[1]71,[8]73,[6]72,[3]63,[0]82
[2]52;[5]54,[3]64,[1]73,[2]54
[4]49;[5]56
[5]54;[5]55,[2]55
[1]71;[5]55,[1]72,[3]64,[0]83,[9]66,[2]54,[8]74,[7]62
[7]61;[2]53,[8]74
[8]72;[8]76
[8]73;[5]55,[7]63,[2]55,[3]65,[0]84
[6]72;[2]67,[3]71
[5]55;[5]56
[3]63;[5]56,[3]64
[5]56;[5]57,[0]85,[9]67,[4]51,[7]64
[1]72;[1]73,[8]75
[0]82;[0]83
[3]64;[3]65,[4]52
[0]83;[2]56
[9]66;[5]57,[1]74,[9]67
[1]73;[3]65,[4]50,[0]84,[1]74
[2]53;[2]54
[2]54;[2]55,[4]50,[3]66
[8]74;[8]75,[4]50,[0]84
[7]62;[7]63
[7]63;[5]64,[2]64,[7]75,[0]91
[8]75;[5]57,[0]85,[1]74,[9]67,[4]51,[7]64
[5]57;[7]67,[3]67
[2]55;[2]56,[7]64
[2]56;[4]52,[1]75,[8]76,[0]86,[7]66,[2]57
[3]65;[3]66,[1]75
[4]50;[4]51,[7]66
[3]66;[8]76,[0]86,[7]65,[2]57,[4]54
[0]84;[0]85,[7]65
[0]85;[0]86,[2]57,[3]67,[7]68,[4]53,[9]68
[1]74;[1]75,[3]67,[7]68,[4]53
[9]67;[2]63
[4]51;[4]52
[7]64;[7]65,[9]68
[4]52;[4]53,[9]68
[1]75;[5]58,[4]54,[2]60
[8]76;[5]58,[2]58,[9]69
[0]86;[5]58,[4]55,[6]73,[2]59,[9]70,[8]77,[7]69
[5]58;[5]60,[1]76,[0]87,[8]79,[7]71,[4]57,[2]62
[7]65;[7]66
[7]66;[7]67
[7]67;[7]68
[2]57;[5]59,[2]58,[6]74,[1]76,[8]78,[0]87
[3]67;[6]73,[9]69,[2]61
[7]68;[5]59,[6]73,[2]58,[9]69,[8]77,[7]69
[4]53;[4]54,[2]59
[9]68;[2]60
